first_name,last_name,grad_school,faculty_school,department
 Hans-Joachim , Adler, University of Lyon,University of Texas Dallas,Management
 Arthur , Agulnek, City University of New York,University of Texas Dallas,Management
 Shawn , Alborz, University of Melbourne,University of Texas Dallas,Management
 Ashiq , Ali, Columbia University,University of Texas Dallas,Management
 Athena , Alimirzaei, Southern Methodist University,University of Texas Dallas,Management
 Semiramis , Amirpour, University of Texas at El Paso,University of Texas Dallas,Management
 Frank , Anderson, University of North Texas,University of Texas Dallas,Management
 Mehmet , Ayvaci, University of Wisconsin at Madison,University of Texas Dallas,Management
 Nina , Baranchuk, Washington University in St. Louis,University of Texas Dallas,Management
 John , Barden, Manhattan College,University of Texas Dallas,Management
 Indranil , Bardhan, The University of Texas at Austin,University of Texas Dallas,Management
 Alain , Bensoussan, University of Paris,University of Texas Dallas,Management
 Abhijit , Biswas, Purdue University,University of Texas Dallas,Management
 Moran , Blueshtein, University of Pennsylvania,University of Texas Dallas,Management
 Dan , Bochsler, University of Houston Clear Lake,University of Texas Dallas,Management
 Gary , Bolton, Carnegie Mellon University,University of Texas Dallas,Management
 Tiffany , Bortz, Texas A&M University,University of Texas Dallas,Management
 Richard , Bowen, The University of Texas at Austin,University of Texas Dallas,Management
 Judd , Bradbury, Purdue University,University of Texas Dallas,Management
 Norris , Bruce, Duke University,University of Texas Dallas,Management
 Monica , Brussolo, The University of Texas at Dallas,University of Texas Dallas,Management
 Metin , Cakanyildirim, Cornell University,University of Texas Dallas,Management
 Shawn , Carraher, University of Oklahoma,University of Texas Dallas,Management
 Huseyin , Cavusoglu, The University of Texas at Dallas,University of Texas Dallas,Management
 Larry , Chasteen, The University of Texas at Dallas,University of Texas Dallas,Management
 Jianqing , Chen, The University of Texas at Austin,University of Texas Dallas,Management
 Emily , Choi, University of California,University of Texas Dallas,Management
 Daniel , Cohen, Northwestern University,University of Texas Dallas,Management
 David , Cordell, The University of Texas at Austin,University of Texas Dallas,Management
 William , Cready, Ohio State University,University of Texas Dallas,Management
 Zhonglan , Dai, University of North Carolina at Chapel Hill,University of Texas Dallas,Management
 Tevfik , Dalgic, Gazi University,University of Texas Dallas,Management
 Milind , Dawande, Carnegie Mellon University,University of Texas Dallas,Management
 Ted , Day, Stanford University,University of Texas Dallas,Management
 George , DeCourcy, The University of Texas at Dallas,University of Texas Dallas,Management
 Michael , Deegan, Case Western University,University of Texas Dallas,Management
 Gene , Deluke, Southern Methodist University,University of Texas Dallas,Management
 Gregory , Dess, University of Washington,University of Texas Dallas,Management
 Howard , Dover, The University of Texas at Dallas,University of Texas Dallas,Management
 Greg , Durham, Arizona State University,University of Texas Dallas,Management
 Kyle , Edgington, University of Texas at Dallas,University of Texas Dallas,Management
 Alexander , Edsel, The University of Texas at Dallas,University of Texas Dallas,Management
 Amal , El-Ashmawi, The University of Texas at Dallas,University of Texas Dallas,Management
 Rebecca , Files, Texas A&M University,University of Texas Dallas,Management
 Forney , Fleming, University of Houston Clear Lake,University of Texas Dallas,Management
 David , Ford Jr, University of Wisconsin,University of Texas Dallas,Management
 Pamela , Foster Brady, University of Texas at Dallas,University of Texas Dallas,Management
 John , Gamino, University of MiamiJD,University of Texas Dallas,Management
 Bernhard , Ganglmair, University of Zurich,University of Texas Dallas,Management
 Xianjun , Geng, The University of Texas at Austin,University of Texas Dallas,Management
 Mary , Goodrich, Louisiana State University,University of Texas Dallas,Management
 Mary , Guan, The University of Texas at Austin,University of Texas Dallas,Management
 Ayfer , Gurun, Southern Methodist University,University of Texas Dallas,Management
 Umit , Gurun, Michigan State University,University of Texas Dallas,Management
 Randall , Guttery, University of ConnecticutMS,University of Texas Dallas,Management
 Richard , Harrison, Stanford University,University of Texas Dallas,Management
 Ernan , Haruvy, The University of Texas at Austin,University of Texas Dallas,Management
 Maria , Hasenhuttl, The University of Texas at Dallas,University of Texas Dallas,Management
 Julie , Haworth, The University of Texas at Austin,University of Texas Dallas,Management
 Charles , Hazzard, University of Pennsylvania,University of Texas Dallas,Management
 Tom , Henderson, Arthur D Little Management Education Institute,University of Texas Dallas,Management
 Robert , Hicks, University of Southern California,University of Texas Dallas,Management
 Jeffrey , Hicks, University of Twente,University of Texas Dallas,Management
 Jerry , Hoag, Stanford University,University of Texas Dallas,Management
 Dorothee , Honhon, New York University,University of Texas Dallas,Management
 Elisabeth , Honka, University of Chicago,University of Texas Dallas,Management
 Kyle , Hyndman, University of Alberta,University of Texas Dallas,Management
 Varghese , Jacob, Purdue University,University of Texas Dallas,Management
 Ganesh , Janakiraman, Cornell University,University of Texas Dallas,Management
 Surya , Janakiraman, University of Pennsylvania,University of Texas Dallas,Management
 Jennifer , Johnson, Texas A&M University,University of Texas Dallas,Management
 Lynn , Jones, University of California,University of Texas Dallas,Management
 Marilyn , Kaplan, The University of Texas at Dallas,University of Texas Dallas,Management
 Elena , Katok, Pennsylvania State University,University of Texas Dallas,Management
 Robert , Kieschnick, The University of Texas at Austin,University of Texas Dallas,Management
 Jackie , Kimzey, The University of Texas at Dallas,University of Texas Dallas,Management
 Dmitri , Kuksov, University of California,University of Texas Dallas,Management
 Nanda , Kumar, University of Chicago,University of Texas Dallas,Management
 Atanu , Lahiri, Simon School of Business,University of Texas Dallas,Management
 Kristen , Lawson, The University of Arizona,University of Texas Dallas,Management
 Sonia , Leach, Arizona State University,University of Texas Dallas,Management
 Seung-Hyun , Lee, The Ohio State University,University of Texas Dallas,Management
 Peter , Lewin, University of Chicago,University of Texas Dallas,Management
 Vance , Lewis, Oklahoma State UniversityMS,University of Texas Dallas,Management
 Bin , Li, Duke University,University of Texas Dallas,Management
 Jun , Li, University of Minnesota,University of Texas Dallas,Management
 Meng , Li, University of Chicago,University of Texas Dallas,Management
 Ningzhong , Li, MBA,University of Texas Dallas,Management
 Stan , Liebowitz, University of California at Los Angeles,University of Texas Dallas,Management
 Zhiang , Lin, Carnegie Mellon University,University of Texas Dallas,Management
 Chris , Linsteadt, The University of Texas at Dallas,University of Texas Dallas,Management
 Virginie , Lopez-Kidwell, University of Kentucky,University of Texas Dallas,Management
 Liping , Ma, University of Arkansas,University of Texas Dallas,Management
 Sumit , Majumdar, University of Minnesota,University of Texas Dallas,Management
 Livia , Markoczy, University of Cambridge,University of Texas Dallas,Management
 John , McCracken, University of Pennsylvania,University of Texas Dallas,Management
 Victoria , McCrady, Texas A&M University,University of Texas Dallas,Management
 Dennis , McCuistion, Southern Methodist University,University of Texas Dallas,Management
 Diane , McNulty, The University of Texas at Dallas,University of Texas Dallas,Management
 Syam , Menon, University of Chicago,University of Texas Dallas,Management
 Toyah , Miller, Texas A&M,University of Texas Dallas,Management
 Radha , Mookerjee, Purdue University,University of Texas Dallas,Management
 Vijay , Mookerjee, Purdue University,University of Texas Dallas,Management
 Alp , Muharremoglu, Massachusetts Institute of Technology,University of Texas Dallas,Management
 B.P.S. , Murthi, Carnegie Mellon University,University of Texas Dallas,Management
 Ravishankar , Narayan, The University of Texas at Austin,University of Texas Dallas,Management
 Ram , Natarajan, University of Pennsylvania,University of Texas Dallas,Management
 Shun-Chen , Niu, University of California at Berkeley,University of Texas Dallas,Management
 Dale , Osborne, The University of Kentucky,University of Texas Dallas,Management
 Dawn , Owens, University of Nebraska at Omaha,University of Texas Dallas,Management
 Ozalp , Ozer, Columbia University,University of Texas Dallas,Management
 Arzu , Ozoguz, INSEAD,University of Texas Dallas,Management
 Madison , Pedigo, The University of Texas at Austin,University of Texas Dallas,Management
 Mike , Peng, University of Washington,University of Texas Dallas,Management
 Joseph , Picken, The University of Texas at Arlington,University of Texas Dallas,Management
 Hasan , Pirkul, University of Rochester,University of Texas Dallas,Management
 Valery , Polkovnichenko, Northwestern University,University of Texas Dallas,Management
 Matt , Polze, The University of Texas School of Law,University of Texas Dallas,Management
 Monica , Powell, University of North Texas,University of Texas Dallas,Management
 Ashutosh , Prasad, The University of Texas at Austin,University of Texas Dallas,Management
 Anyan , Qi, University of Michigan,University of Texas Dallas,Management
 Suresh , Radhakrishnan, New York University,University of Texas Dallas,Management
 Srinivasan , Raghunathan, University of Pittsburgh,University of Texas Dallas,Management
 Divakar , Rajamani, University of Windsor,University of Texas Dallas,Management
 Daniel , Rajaratnam, Marketing,University of Texas Dallas,Management
 Kannan , Ramanathan, University of Illinois,University of Texas Dallas,Management
 Ram , Rao, Carnegie Mellon University,University of Texas Dallas,Management
 Brian , Ratchford, University of Rochester,University of Texas Dallas,Management
 Michael , Rebello, The University of Texas at Austin,University of Texas Dallas,Management
 Carolyn , Reichert, Pennsylvania State University,University of Texas Dallas,Management
 Orlando , Richard, Massachusetts Institute of Technology,University of Texas Dallas,Management
 James , Richards, The University of Texas at Dallas,University of Texas Dallas,Management
 David , Ritchey, Texas A&M University,University of Texas Dallas,Management
 Young , Ryu, The University of Texas at Austin,University of Texas Dallas,Management
 Gil , Sadka, University of Chicago,University of Texas Dallas,Management
 Mark , Salamasick, Central Michigan University,University of Texas Dallas,Management
 Jane , Salk, Massachusetts Institute of Technology,University of Texas Dallas,Management
 Alessio , Saretto, University of California,University of Texas Dallas,Management
 Sumit , Sarkar, University of Rochester,University of Texas Dallas,Management
 Arthur , Selender, University of Chicago,University of Texas Dallas,Management
 Avanti , Sethi, Carnegie Mellon University,University of Texas Dallas,Management
 Suresh , Sethi, Carnegie Mellon University,University of Texas Dallas,Management
 Rajiv , Shah, Southern Methodist University,University of Texas Dallas,Management
 Anastasia , Shcherbakova, University of Chicago,University of Texas Dallas,Management
 Harpreet , Singh, University of Connecticut,University of Texas Dallas,Management
 Kelly , Slaughter, University of Minnesota,University of Texas Dallas,Management
 Margaret , Smallwood, The University of Texas at Dallas,University of Texas Dallas,Management
 Kenneth , Smith, University of California,University of Texas Dallas,Management
 Steven , Solcher, Oklahoma State University,University of Texas Dallas,Management
 Gonca , Soysal, Northwestern University,University of Texas Dallas,Management
 David , Springate, Harvard Business School,University of Texas Dallas,Management
 Kathryn , Stecke, Purdue University,University of Texas Dallas,Management
 Upender , Subramanian, University of Pennsylvania,University of Texas Dallas,Management
 Shaojie , Tang, Illinois Institute of Technology,University of Texas Dallas,Management
 Luell , Thompson, Apex School of Theology,University of Texas Dallas,Management
 Mark , Thouin, Texas Tech University,University of Texas Dallas,Management
 Amy , Troutman, The University of Texas at Austin,University of Texas Dallas,Management
 Eric W. , Tsang, University of Cambridge,University of Texas Dallas,Management
 Christian , von Drathen, London School of Economics (LSE),University of Texas Dallas,Management
 Yu , Wang, University of Michigan,University of Texas Dallas,Management
 Malcolm , Wardlaw, The University of Texas at Austin,University of Texas Dallas,Management
 John , Watson, University of Iowa,University of Texas Dallas,Management
 Kelsey , Wei, The University of Texas at Austin,University of Texas Dallas,Management
 John , Wiorkowski, The University of Chicago,University of Texas Dallas,Management
 Habte , Woldu, Academy of Economics,University of Texas Dallas,Management
 Robert , Wright, Texas Tech University,University of Texas Dallas,Management
 Fang , Wu, The University of Texas at Austin,University of Texas Dallas,Management
 Han , Xia, University of North Carolina at Chapel Hill,University of Texas Dallas,Management
 Jun , Xia, Texas Tech University,University of Texas Dallas,Management
 Ying , Xie, Northwestern University,University of Texas Dallas,Management
 Yexiao , Xu, Princeton University,University of Texas Dallas,Management
 Nir , Yehuda, Columbia University,University of Texas Dallas,Management
 Yuanping , Ying, University of Michigan,University of Texas Dallas,Management
 Alejandro , Zentner, University of Chicago,University of Texas Dallas,Management
 Jieying , Zhang, Massachusetts Institue of Technology,University of Texas Dallas,Management
 Zhe , Zhang, University of California at Irvine,University of Texas Dallas,Management
 Harold , Zhang, Duke University,University of Texas Dallas,Management
 Yuan , Zhang, University of Southern California,University of Texas Dallas,Management
 Feng , Zhao, Cornell University,University of Texas Dallas,Management
 Xiaofei , Zhao, University of Toronto,University of Texas Dallas,Management
 Zhiqiang , Zheng, University of Pennsylvania,University of Texas Dallas,Management
 Yibin , Zhou, University of Toronto,University of Texas Dallas,Management
 Laurie , Ziegler, The University of Texas at Arlington,University of Texas Dallas,Management
 Kathy , Zolton, University of Texas A&M,University of Texas Dallas,Management
 Hubert , Zydorek, The University of Nottingham,University of Texas Dallas,Management
Larry,Abbott, University of Oregon,University of Wisconsin Milwaukee,Management
Layth C.,Alwan, University of Chicago,University of Wisconsin Milwaukee,Management
Amit,Bhatnagar, State University of New York at Buffalo,University of Wisconsin Milwaukee,Management
Janice L.,Blankenburg, Washington University,University of Wisconsin Milwaukee,Management
Colleen,Boland, Michigan State University,University of Wisconsin Milwaukee,Management
Veena L.,Brown, Florida Atlantic University,University of Wisconsin Milwaukee,Management
Brian,Daugherty, University of Texas at San Antonio,University of Wisconsin Milwaukee,Management
Stanislav D.,Dobrev, Stanford University,University of Wisconsin Milwaukee,Management
Xiang,Fang, Case Western Reserve University,University of Wisconsin Milwaukee,Management
Jim,Fischer, University of Wisconsin-Madison,University of Wisconsin Milwaukee,Management
Paul M.,Fischer, University of Wisconsin-Madison,University of Wisconsin Milwaukee,Management
Stephen,France, Rutgers University,University of Wisconsin Milwaukee,Management
Sarah J.,Freeman, University of Michigan,University of Wisconsin Milwaukee,Management
Michael,Freimark, Southern Illinois University,University of Wisconsin Milwaukee,Management
Sanjoy,Ghose,Carnegie-Mellon University,University of Wisconsin Milwaukee,Management
Maria,Goranova, Syracuse University,University of Wisconsin Milwaukee,Management
Timothy,Haas, Colorado State University,University of Wisconsin Milwaukee,Management
Joseph,Halford, University of Utah,University of Wisconsin Milwaukee,Management
Tina (Tingting),He, Washington University in St. Louis,University of Wisconsin Milwaukee,Management
Ross T.,Hightower, Georgia State University,University of Wisconsin Milwaukee,Management
Scott H.C.,Hsu, University of North Carolina at Chapel Hill,University of Wisconsin Milwaukee,Management
Zhijian (James),Huang, Pennsylvania State University,University of Wisconsin Milwaukee,Management
Hemant K.,Jain, Lehigh University,University of Wisconsin Milwaukee,Management
Yong-Cheol,Kim, Ohio State University,University of Wisconsin Milwaukee,Management
Paul,Kimmel, University of Wisconsin-Madison,University of Wisconsin Milwaukee,Management
Charles,Konkol, University of Wisconsin-Milwaukee,University of Wisconsin Milwaukee,Management
Mark,Kosfeld, Arizona State University,University of Wisconsin Milwaukee,Management
Leslie,Kren, University of Houston,University of Wisconsin Milwaukee,Management
Sanjeev,Kumar, University of Michigan,University of Wisconsin Milwaukee,Management
Kaan,Kuzu, The Pennsylvania State University,University of Wisconsin Milwaukee,Management
Edward,Levitas, Texas A&M University,University of Wisconsin Milwaukee,Management
Richard D.,Marcus, University of Chicago,University of Wisconsin Milwaukee,Management
Michael,McBain, University of Massachusetts-Amherst,University of Wisconsin Milwaukee,Management
Janice,Miller, Arizona State University,University of Wisconsin Milwaukee,Management
Mark A.,Mone, Washington State University,University of Wisconsin Milwaukee,Management
Satish,Nambisan, Syracuse University,University of Wisconsin Milwaukee,Management
Derek,Nazareth, Case Western Reserve University,University of Wisconsin Milwaukee,Management
Daniel,Neely, University of Houston,University of Wisconsin Milwaukee,Management
George,Nezlek, University of Wisconsin-Milwaukee,University of Wisconsin Milwaukee,Management
Massimiliano (Max),Ostinelli, McGill University,University of Wisconsin Milwaukee,Management
Purushottam,Papatla, Northwestern University,University of Wisconsin Milwaukee,Management
Laura,Peracchio, Northwestern University,University of Wisconsin Milwaukee,Management
Cathy,Poliak, Northern Illinois University,University of Wisconsin Milwaukee,Management
V. Kanti,Prasad, Michigan State University,University of Wisconsin Milwaukee,Management
Belle Rose,Ragins, University of Tennessee - Knoxville,University of Wisconsin Milwaukee,Management
Jude,Rathburn, Arizona State University,University of Wisconsin Milwaukee,Management
Raymond,Rausch, Marquette University,University of Wisconsin Milwaukee,Management
Hong,Ren, The Pennsylvania State University,University of Wisconsin Milwaukee,Management
Anthony,Ross, Indiana University,University of Wisconsin Milwaukee,Management
Jeffrey J.,Rymaszewski, University of Wisconsin-Milwaukee,University of Wisconsin Milwaukee,Management
Michael S.,Schadewald, University of Minnesota,University of Wisconsin Milwaukee,Management
Margaret,Shaffer, University of Texas at Arlington,University of Wisconsin Milwaukee,Management
Valeriy,Sibilkov, Purdue University,University of Wisconsin Milwaukee,Management
Romila,Singh, Drexel University,University of Wisconsin Milwaukee,Management
Atish P.,Sinha, University of Pittsburgh,University of Wisconsin Milwaukee,Management
Timothy L. (Tim),Smunt, Indiana University,University of Wisconsin Milwaukee,Management
G. Kevin Spellman,CFA, Durham University (UK),University of Wisconsin Milwaukee,Management
Mark,Srite, Florida State University,University of Wisconsin Milwaukee,Management
Steven M.,Trick, University of Wisconsin-Milwaukee,University of Wisconsin Milwaukee,Management
Sheila,Viel, University of Wisconsin-Milwaukee,University of Wisconsin Milwaukee,Management
Xiaohang,Yue, University of Texas at Dallas,University of Wisconsin Milwaukee,Management
Huimin,Zhao, University of Arizona,University of Wisconsin Milwaukee,Management
